at_users,id,pictures,note_id,like_count,create_time,show_tags,content,user_info,ip_location,sub_comments,liked,sub_comment_cursor,sub_comment_has_more,sub_comment_count,status
[],66cccd83000000000a01768c,,66cbd1f7000000001f01802d,1480,1724697987000,[],无法停止回想复盘➕悔不当初，太痛苦了,Bran,,"[{'id': '66cd15b6000000000d00e65a', 'note_id': '66cbd1f7000000001f01802d', 'status': 0, 'show_tags': [], 'target_comment': {'id': '66cccd83000000000a01768c', 'user_info': {'user_id': '5ac31bb34eacab3a5ee6630e', 'nickname': 'Bran', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/638c67c63b4f781f0b3a2cff.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABdRq1U-vDnJvPi8tzgM7xZVyESW9kCXZEWtJVq1PgapE='}}, 'create_time': 1724716471000, 'content': '对 我现在睡前也会想 早起第一件事也想 但有时有不断安慰自己 有时又调节不过来 一直反反复复 感觉自己好难受 明明已经改变不了了 但我就是很后悔', 'at_users': [], 'liked': False, 'like_count': '503', 'user_info': {'user_id': '60c1723d000000000100193a', 'nickname': 'Eloisa', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo315j41vi40q605o61e8ug869qk1v2b18?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABcX2Rmd2ANTBvG5SZpzZ_Ni-cPd7p8XxTjPJrOim4VT4='}}]",False,66cd15b6000000000d00e65a,True,164,0
[],66cc5fc50000000020025a1b,,66cbd1f7000000001f01802d,557,1724669894000,[],没人告诉过我为了考个研究生我要如此痛苦 人为什么要考试 查到成绩之后疯狂安慰自己人生不会完蛋的 但还是爆哭到头疼 可是我连哭的时间都没有 一边哭一边学 考不上研究生人生会玩蛋吗,来我的窗户看月亮,,"[{'id': '66cc658a000000000c01896c', 'at_users': [], 'liked': False, 'show_tags': [], 'user_info': {'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3173eoj62k4005pitc321oij25g905k8?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABiE449hVPbQuhwpKn9NrrTrZ1RTlMmEYQUhEvj1HlSwc=', 'user_id': '665d60c40000000007004a62', 'nickname': '小红薯665DE023'}, 'create_time': 1724671371000, 'target_comment': {'id': '66cc5fc50000000020025a1b', 'user_info': {'user_id': '5f16ff3e00000000010056fe', 'nickname': '来我的窗户看月亮', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/640da5a4e504802fffcd71de.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABlceDejdixKfKwRlVfULwmWyGG9h5hIOPHibalKdnpWI='}}, 'note_id': '66cbd1f7000000001f01802d', 'status': 0, 'content': '不会的宝宝！！！不要灾难性思维呀 要成长性看待自己[哭惹R][飞吻R]', 'like_count': '240'}]",False,66cc658a000000000c01896c,True,131,0
[],66cd8dad0000000016011391,,66cbd1f7000000001f01802d,688,1724747181000,[],巨大的灾难 超出了我的承受范围 我感觉我不行了,momo,,"[{'note_id': '66cbd1f7000000001f01802d', 'liked': False, 'like_count': '166', 'user_info': {'xsec_token': 'ABPxfKWxMkwQx_gc1vG64Kf2DU5lgNvloV6Xy23cKZhts=', 'user_id': '602633bb00000000010048fb', 'nickname': '小红薯60274CE8', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo315dpb7lvhe005o166etg8i7rskh6cq0?imageView2/2/w/120/format/jpg'}, 'show_tags': [], 'create_time': 1724835781000, 'target_comment': {'id': '66cd8dad0000000016011391', 'user_info': {'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31cse1501gu005nt13vh08vdjklt980o?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABmBPqmsg_lPt2CjPs56IXXOnIXYIYlNDW_3G3e65t4-8=', 'user_id': '5fa11fe20000000001007db3', 'nickname': 'momo'}}, 'id': '66cee7c5000000000b00d505', 'status': 0, 'content': '宝宝我最近也贼难受 真的不太有活下去的希望了 感觉自己抑郁了[哭惹R][哭惹R]', 'at_users': []}]",False,66cee7c5000000000b00d505,True,77,0
[],66cf13ee0000000020026935,,66cbd1f7000000001f01802d,452,1724847087000,[],人所有的痛苦都来源于不接纳，这件事不应该这样，应该是如我所愿那样子的，当你不接纳就是在对抗，你越对抗，令你痛苦的这件事带给你的感觉就会越痛苦，只有接受事实，然后它就有会转机。,新欣一心,,"[{'id': '66d476cf0000000016010368', 'content': '可是我感觉我如果要去接受这种改变，强行适应，我反而会出更大的问题', 'liked': False, 'user_info': {'user_id': '62d14fc3000000000e00f472', 'nickname': '英子开门，爹地', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31a583pmlng605omh9v1jht3is1m8b9g?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABsqTFNrGkco7SU7mpjVrGjYQghwte1SOr1fHtVUdZORQ='}, 'show_tags': [], 'create_time': 1725200080000, 'target_comment': {'user_info': {'user_id': '60e435a6000000000101cb5d', 'nickname': '新欣一心', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31eefuc0f0c505o746mj0biqtk7e09to?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABRitZKg4bxGB7ZeORCGSWVB3WkWpK7GvIsKCk_9wgcC8='}, 'id': '66cf13ee0000000020026935'}, 'note_id': '66cbd1f7000000001f01802d', 'status': 0, 'at_users': [], 'like_count': '86'}]",False,66d476cf0000000016010368,True,51,0
[],66cc5a5c0000000020021ce0,,66cbd1f7000000001f01802d,272,1724668508000,[],真的很痛苦，这两年是我人生中最灰暗的时候，很多次活不下去，一直活在过去，担心未来，每天胡思乱想，现在我的心已经千疮百孔！我在想我上辈子是不是犯了很大的错，这样惩罚我，,小瑞～,,"[{'at_users': [], 'create_time': 1724678142000, 'id': '66cc7ffd000000000d00e60e', 'status': 0, 'content': '不是的，是大脑的思维，它本意是想保护你，但是反应过度了，给你制造了非常多的夸大的痛苦。如果两年了，可以试试找心理团队咨询', 'liked': False, 'like_count': '83', 'user_info': {'nickname': 'momo', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/65b1121b93b7ece9e9cea4a9.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABUfUlOVp_OY-W6WQVLfvERPiNqgM_YeN7JWc5evWHSlI=', 'user_id': '5c5d74df0000000010012d58'}, 'show_tags': [], 'target_comment': {'id': '66cc5a5c0000000020021ce0', 'user_info': {'nickname': '小瑞～', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30s7qqrnpig005oqtvat65543k86lka0?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABCdXzbDP7PrZYC1s1EKp4MuuW7XMdCq2WzUNqQNzNB38=', 'user_id': '635dfaba0000000018029483'}}, 'note_id': '66cbd1f7000000001f01802d'}]",False,66cc7ffd000000000d00e60e,True,25,0
[],67b52883000000001c008cf2,,66cbd1f7000000001f01802d,0,1739925636000,[],特别痛苦，如果不做脂肪填充，我的脸起码还能看，打扮一下做个发型还是可以的，现在直接成了个大饼脸，而且脂肪怎么都消不掉，没有任何办法了，真的特别痛苦,momo,广东,"[{'ip_location': '福建', 'note_id': '66cbd1f7000000001f01802d', 'at_users': [], 'like_count': '0', 'liked': False, 'user_info': {'user_id': '5f09c4c10000000001005acd', 'nickname': '不是t别私信le', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/63a70207bb17754131992ef9.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB1ql9woJSCUggel1Lqowma0Qkh47cug9kdOsKncCkW9k='}, 'show_tags': [], 'create_time': 1740074584000, 'target_comment': {'id': '67b52883000000001c008cf2', 'user_info': {'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31aod7uti6o6g4bjj6qvp78h8hhvbl6g?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB8jqytB1udgyN4EFB8n5n9nLeanxglVBit5qJdBn7z5g=', 'user_id': '5bd07f937de934000127a228', 'nickname': 'momo'}}, 'id': '67b76e570000000016030c68', 'status': 0, 'content': '可以面部吸吗'}]",False,67b76e570000000016030c68,True,14,0
[],6788b6be000000002103d83b,,66cbd1f7000000001f01802d,2,1737012926000,[],所有的状态都是当下最好的选择。有需要帮助可以来找我，公益心理疏导。,心理赋能 阿水,,"[{'show_tags': [], 'create_time': 1737194441000, 'note_id': '66cbd1f7000000001f01802d', 'status': 0, 'content': '如果是家里人让我很痛苦怎么办，不认同也无法接受，所以我在尝试远离，但我现在又必须面临毕业季找工作的事，每天为生计兼职➕找未来工作➕完成毕业论文➕家庭矛盾，让我这段时间没办法相信自己是配找到好工作的人，甚至好像不配好好地活着的人，总是会想到老师说过的“孩子是家庭的缩影”，有这样的家人我是不是也得付出代价才行', 'liked': False, 'target_comment': {'id': '6788b6be000000002103d83b', 'user_info': {'xsec_token': 'ABC-4qXLd40rP4xfckm6nzKZpy2zREIAuRTrRGOUFMqwI=', 'user_id': '63452fcb000000001802c790', 'nickname': '心理赋能 阿水', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31cons58r10dg5oq55v5m5hsgp4ds9so?imageView2/2/w/120/format/jpg'}}, 'id': '678b7bc8000000002103dfaa', 'at_users': [], 'like_count': '1', 'user_info': {'user_id': '6463a2ac000000001f0321a1', 'nickname': '上岸陀螺王', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo319k53p647a5g5p33kam7u8d1pft8ko0?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB_e8ND-leMfXuO4TpznzH4h6DGL3u31IKpWUzcFI3kow='}}]",False,678b7bc8000000002103dfaa,True,8,0
[],67bf6bce0000000019001da2,,66cbd1f7000000001f01802d,0,1740598223000,[],3点多被自己的后悔弄醒，为什么自己两次都失败，老天爷就是不想让我成功一次，这次是最接近的，最好的一次，却因为我自己身体上的问题，面试资格都没有，两次，在同一个问题跌倒，真的很痛苦，想快点走出去，不知道怎么调节自己，看家里人上火我也很难过，我的人生从结婚之后就没有好的运气......,西崽要瘦下来～,黑龙江,"[{'status': 0, 'content': '我是突然醒悟了以前可能做了错的事情，痛苦的我无法自拔，都要开始吃抑郁药了', 'at_users': [], 'liked': False, 'like_count': '0', 'show_tags': [], 'id': '67c176e3000000001503f09e', 'note_id': '66cbd1f7000000001f01802d', 'target_comment': {'id': '67bf6bce0000000019001da2', 'user_info': {'user_id': '5bcd3e47e2094300011789db', 'nickname': '西崽要瘦下来～', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/62772f01d723f1fbdda235d7.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABkNQqA9H_EGSqNv2f7KGssL4Tqh39HyFZXx0baO5rTyg='}}, 'create_time': 1740732132000, 'ip_location': '黑龙江', 'user_info': {'xsec_token': 'ABjDmOtkjK-wGIlxbKpXQ4-j3s7NAkzrgWsKARKK4ru_8=', 'user_id': '576a27ae50c4b45651f07956', 'nickname': 'xiao咩', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31evae73imo6048gruajqsuamfvcas6g?imageView2/2/w/120/format/jpg'}}]",False,67c176e3000000001503f09e,True,5,0
[],67825c1b0000000022009393,,66cbd1f7000000001f01802d,1,1736596508000,[],最近真的很难过我的一颗大牙被医生过度治疗根管了。只要想起来就会很痛苦，因为感觉不对劲但是还是相信他的话，现在解决起来也很麻烦，最近只要想到就很痛苦，干什么都提不起劲。不知道以后会怎么样，能不能解决好。也不知道怎么让自己心情好起来[哭惹R],晓蕗蕗蕗蕗,,"[{'status': 0, 'like_count': '0', 'user_info': {'user_id': '5d059ec5000000001601b811', 'nickname': 'momo', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo319fapcnp6e005n85jr2lje0heavcod0?imageView2/2/w/120/format/jpg', 'xsec_token': 'AB-z8jkZx7ZRwdX5XpDb1qOM8O5h94SXs-IMzN7NfObzI='}, 'target_comment': {'id': '67825c1b0000000022009393', 'user_info': {'user_id': '675e8ae5000000001801541a', 'nickname': '晓蕗蕗蕗蕗', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31buf0j5c0k005pquhbim2l0q531jct0?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABnpZgmqUoWfo1QVDnVqk1LFOXgwoeFgUodxpDuGQmFj8='}}, 'create_time': 1736857471000, 'id': '6786577f000000001b03a9a7', 'note_id': '66cbd1f7000000001f01802d', 'content': '这都是小事姐妹，一切都会过去的', 'at_users': [], 'liked': False, 'show_tags': []}]",False,6786577f000000001b03a9a7,True,4,0
[],675b248a000000000e00f24c,,66cbd1f7000000001f01802d,3,1734026378000,[],好难过 一个月来 每天都会懊悔  悔不当初 [叹气R]真的好痛苦,花菜🥦,,"[{'user_info': {'user_id': '64e01e75000000000100e7ea', 'nickname': 'momo', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/645b802027c6616ef4dc0b4a.jpg?imageView2/2/w/120/format/jpg', 'xsec_token': 'ABlA42Pm91_lNBP6_UW1vgl_4GticIp78JClA_eUnQOTg='}, 'create_time': 1734452172000, 'target_comment': {'id': '675b248a000000000e00f24c', 'user_info': {'xsec_token': 'ABDK3YVltDu_6SDs-fSaev6Lv60JsSQePr8jT-34QmQpA=', 'user_id': '5b6806c94eacab2e874c740c', 'nickname': '花菜🥦', 'image': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo316fhpveiio004aa50k3cit0clshog9o?imageView2/2/w/120/format/jpg'}}, 'note_id': '66cbd1f7000000001f01802d', 'content': '一样，幻想自己没做出错误的决定，都快分不清现实和想象了。', 'liked': False, 'like_count': '1', 'show_tags': [], 'id': '6761a3cb000000001200ce62', 'status': 0, 'at_users': []}]",False,6761a3cb000000001200ce62,True,3,0
